session_index,timestamp,altitude,cadence,distance,enhanced_respiration_rate,fractional_cadence,gps_accuracy,heart_rate,position,position_lat,position_long,power,speed,stance_time,stance_time_percent,step_length,temperature,vertical_oscillation,vertical_ratio
0,2026-01-15T09:00:00+00:00,34,166,0,23,0,4,123,"52.516300007701,13.377700019628",52.516300007701,13.377700019628,222,2.6,238,33.2,939.8,12,86.8,9.19
0,2026-01-15T09:00:01+00:00,34,167,2.6,23,0.5,4,123,"52.516296487302,13.377661965787",52.516296487302,13.377661965787,222,2.601,238,33.1,934.6,12,86.8,9.3
0,2026-01-15T09:00:02+00:00,34,168,5.2,23,0,4,123,"52.516293050721,13.377623995766",52.516293050721,13.377623995766,222,2.602,238,33.1,929.5,12,86.8,9.3
0,2026-01-15T09:00:03+00:00,34,169,7.8,23,0.5,4,123,"52.516289530322,13.377585941926",52.516289530322,13.377585941926,222,2.604,238,33.1,924.5,12,86.8,9.4
0,2026-01-15T09:00:04+00:00,34,170,10.4,23,0,4,123,"52.516286093742,13.377547888085",52.516286093742,13.377547888085,222,2.605,238,33.1,919.5,12,86.8,9.4
0,2026-01-15T09:00:05+00:00,34,166,13.01,23,0.5,4,123,"52.516282573342,13.377509834245",52.516282573342,13.377509834245,222,2.606,238,33.1,942.2,12,86.8,9.19
0,2026-01-15T09:00:06+00:00,34,167,15.62,23,0,4,123,"52.516279136762,13.377471696585",52.516279136762,13.377471696585,223,2.608,238,33.1,937,12,86.7,9.3
0,2026-01-15T09:00:07+00:00,34,168,18.22,23,0.5,4,123,"52.516275616363,13.377433642745",52.516275616363,13.377433642745,223,2.609,238,33.1,931.9,12,86.7,9.3
0,2026-01-15T09:00:08+00:00,34,169,20.83,23,0,4,123,"52.516272179782,13.377395505086",52.516272179782,13.377395505086,223,2.61,238,33.1,926.9,12,86.7,9.4
0,2026-01-15T09:00:09+00:00,34,170,23.44,23,0.5,4,123,"52.516268743202,13.377357283607",52.516268743202,13.377357283607,223,2.612,238,33.1,921.9,12,86.7,9.4
0,2026-01-15T09:00:10+00:00,34.2,166,26.06,23,0,4,123,"52.516265222803,13.377319145948",52.516265222803,13.377319145948,223,2.613,238,33.1,944.6,12,86.7,9.19
0,2026-01-15T09:00:11+00:00,34.2,167,28.67,23,0.5,4,123,"52.516261786222,13.377280924469",52.516261786222,13.377280924469,223,2.614,238,33.1,939.4,12,86.7,9.19
0,2026-01-15T09:00:12+00:00,34.2,168,31.28,23,0,4,123,"52.516258349642,13.377242702991",52.516258349642,13.377242702991,223,2.616,238,33.1,934.3,12,86.7,9.3
0,2026-01-15T09:00:13+00:00,34.2,169,33.9,23,0.5,4,123,"52.516254913062,13.377204481512",52.516254913062,13.377204481512,223,2.617,237,33.1,929.2,12,86.7,9.3
0,2026-01-15T09:00:14+00:00,34.2,170,36.52,23,0,4,123,"52.516251476482,13.377166176215",52.516251476482,13.377166176215,223,2.618,237,33.1,924.2,12,86.7,9.4
0,2026-01-15T09:00:15+00:00,34.2,166,39.14,23,0.5,4,123,"52.516247956082,13.377127954736",52.516247956082,13.377127954736,223,2.62,237,33.1,947,12,86.7,9.19
0,2026-01-15T09:00:16+00:00,34.2,167,41.76,23,0,4,123,"52.516244519502,13.377089649439",52.516244519502,13.377089649439,223,2.621,237,33.1,941.8,12,86.7,9.19
0,2026-01-15T09:00:17+00:00,34.2,168,44.38,23.3,0.5,4,124,"52.516241082922,13.377051260322",52.516241082922,13.377051260322,224,2.622,237,33.1,936.7,12,86.6,9.19
0,2026-01-15T09:00:18+00:00,34.2,169,47,23.3,0,4,124,"52.516237646341,13.377012955025",52.516237646341,13.377012955025,224,2.624,237,33.1,931.6,12,86.6,9.3
0,2026-01-15T09:00:19+00:00,34.2,170,49.62,23.3,0.5,4,124,"52.516234125942,13.376974565908",52.516234125942,13.376974565908,224,2.625,237,33.1,926.6,12,86.6,9.3
0,2026-01-15T09:00:20+00:00,34.2,166,52.25,23.3,0,4,124,"52.516230689362,13.376936260611",52.516230689362,13.376936260611,224,2.626,237,33.1,949.4,12,86.6,9.1
0,2026-01-15T09:00:21+00:00,34.2,167,54.88,23.3,0.5,4,124,"52.516227252781,13.376897787675",52.516227252781,13.376897787675,224,2.628,237,33.1,944.2,12,86.6,9.19
0,2026-01-15T09:00:22+00:00,34.2,168,57.5,23.3,0,4,124,"52.516223732382,13.376859398559",52.516223732382,13.376859398559,224,2.629,237,33.1,939,12,86.6,9.19
0,2026-01-15T09:00:23+00:00,34.2,169,60.13,23.3,0.5,4,124,"52.516220295802,13.376821009442",52.516220295802,13.376821009442,224,2.63,237,33.1,934,12,86.6,9.3
0,2026-01-15T09:00:24+00:00,34.4,170,62.76,23.3,0,4,124,"52.516216775402,13.376782536507",52.516216775402,13.376782536507,224,2.632,237,33.1,928.9,12,86.6,9.3
0,2026-01-15T09:00:25+00:00,34.4,166,65.4,23.3,0.5,4,124,"52.516213255003,13.376744063571",52.516213255003,13.376744063571,224,2.633,237,33.1,951.8,12,86.6,9.1
0,2026-01-15T09:00:26+00:00,34.4,167,68.03,23.3,0,4,124,"52.516209818423,13.376705590636",52.516209818423,13.376705590636,224,2.634,237,33.1,946.6,12,86.6,9.1
0,2026-01-15T09:00:27+00:00,34.4,168,70.66,23.3,0.5,4,124,"52.516206298023,13.376667033881",52.516206298023,13.376667033881,225,2.636,237,33.1,941.4,12,86.5,9.19
0,2026-01-15T09:00:28+00:00,34.4,169,73.3,23.3,0,4,124,"52.516202777624,13.376628560945",52.516202777624,13.376628560945,225,2.637,237,33.1,936.3,12,86.5,9.19
0,2026-01-15T09:00:29+00:00,34.4,170,75.94,23.3,0.5,4,124,"52.516199257225,13.376590004191",52.516199257225,13.376590004191,225,2.638,237,33.1,931.3,12,86.5,9.3
0,2026-01-15T09:00:30+00:00,34.4,166,78.58,23.3,0,4,124,"52.516195736825,13.376551447436",52.516195736825,13.376551447436,225,2.64,237,33.1,954.2,12,86.5,9.1
0,2026-01-15T09:00:31+00:00,34.4,167,81.22,23.3,0.5,4,124,"52.516192216426,13.376512806863",52.516192216426,13.376512806863,225,2.641,237,33.1,949,12,86.5,9.1
0,2026-01-15T09:00:32+00:00,34.4,168,83.86,23.3,0,4,124,"52.516188612208,13.376474250108",52.516188612208,13.376474250108,225,2.642,237,33.1,943.8,12,86.5,9.19
0,2026-01-15T09:00:33+00:00,34.4,169,86.5,23.3,0.5,4,124,"52.516185091808,13.376435609534",52.516185091808,13.376435609534,225,2.644,237,33.1,938.7,12,86.5,9.19
0,2026-01-15T09:00:34+00:00,34.4,170,89.14,23.3,0,4,124,"52.51618148759,13.376396968961",52.51618148759,13.376396968961,225,2.645,237,33.1,933.6,12,86.5,9.3
0,2026-01-15T09:00:35+00:00,34.4,166,91.79,23.3,0.5,4,124,"52.516177967191,13.376358328387",52.516177967191,13.376358328387,225,2.646,237,33.1,956.6,12,86.5,9
0,2026-01-15T09:00:36+00:00,34.4,167,94.44,23.3,0,4,124,"52.516174362972,13.376319687814",52.516174362972,13.376319687814,225,2.648,237,33.1,951.4,12,86.5,9.1
0,2026-01-15T09:00:37+00:00,34.4,168,97.08,23.3,0.5,4,124,"52.516170758754,13.376280963421",52.516170758754,13.376280963421,225,2.649,237,33.1,946.2,12,86.5,9.1
